192.168.150.1 - - [03/Oct/2025:17:34:48 +0000] "GET /dt/api/v1/license/concise HTTP/1.1" 200 160104 "https://localhost:57821/dt/projects/70850e52-d77a-4c0c-ab07-c3fa45f08da9" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.027 upstream_response_time=0.027
192.168.150.1 - - [03/Oct/2025:17:34:48 +0000] "GET /dt/api/v1/component/project/70850e52-d77a-4c0c-ab07-c3fa45f08da9?onlyOutdated=false&onlyDirect=false&searchText=&pageSize=10&pageNumber=1 HTTP/1.1" 200 2 "https://localhost:57821/dt/projects/70850e52-d77a-4c0c-ab07-c3fa45f08da9" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.047 upstream_response_time=0.047
192.168.150.1 - - [03/Oct/2025:17:34:48 +0000] "GET /dt/api/v1/finding/project/70850e52-d77a-4c0c-ab07-c3fa45f08da9?suppressed=false&searchText= HTTP/1.1" 200 2 "https://localhost:57821/dt/projects/70850e52-d77a-4c0c-ab07-c3fa45f08da9" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" request_time=0.033 upstream_response_time=0.034
192.168.150.1 - - [28/Oct/2025:22:50:39 +0000] "GET /dt/api/version HTTP/1.1" 200 345 "https://localhost:62731/dt/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" request_time=0.016 upstream_response_time=0.015
192.168.150.1 - - [28/Oct/2025:22:50:39 +0000] "GET /dt/api/v1/configProperty/public/general/welcome.message.enabled HTTP/1.1" 200 187 "https://localhost:62731/dt/login?redirect=%2Fdashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" request_time=0.038 upstream_response_time=0.037
192.168.150.1 - - [28/Oct/2025:22:57:17 +0000] "GET /dt/api/version HTTP/1.1" 200 345 "https://localhost:62731/dt/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" request_time=0.013 upstream_response_time=0.014
192.168.150.1 - - [28/Oct/2025:22:57:17 +0000] "GET /dt/api/v1/configProperty/public/general/welcome.message.enabled HTTP/1.1" 200 187 "https://localhost:62731/dt/login?redirect=%2Fdashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" request_time=0.036 upstream_response_time=0.036
192.168.150.1 - - [28/Oct/2025:23:08:43 +0000] "GET /dt/api/version HTTP/1.1" 200 345 "https://localhost:62731/dt/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" request_time=0.013 upstream_response_time=0.013
192.168.150.1 - - [28/Oct/2025:23:08:43 +0000] "GET /dt/api/v1/configProperty/public/general/welcome.message.enabled HTTP/1.1" 200 187 "https://localhost:62731/dt/login?redirect=%2Fdashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" request_time=0.034 upstream_response_time=0.033
192.168.150.1 - - [29/Oct/2025:04:01:17 +0000] "GET /dt/api/version HTTP/1.1" 200 345 "https://localhost:62731/dt/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" request_time=0.008 upstream_response_time=0.009
192.168.150.1 - - [29/Oct/2025:04:01:17 +0000] "GET /dt/api/v1/configProperty/public/general/welcome.message.enabled HTTP/1.1" 200 187 "https://localhost:62731/dt/login?redirect=%2Fdashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" request_time=0.008 upstream_response_time=0.008
192.168.150.1 - - [29/Oct/2025:04:11:27 +0000] "GET /dt/api/version HTTP/1.1" 200 345 "https://localhost:62731/dt/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" request_time=0.009 upstream_response_time=0.008
192.168.150.1 - - [29/Oct/2025:04:11:27 +0000] "GET /dt/api/v1/configProperty/public/general/welcome.message.enabled HTTP/1.1" 200 187 "https://localhost:62731/dt/login?redirect=%2Fdashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" request_time=0.030 upstream_response_time=0.030
192.168.150.1 - - [29/Oct/2025:04:13:00 +0000] "GET /dt/api/version HTTP/1.1" 200 345 "https://localhost:62731/dt/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" request_time=0.008 upstream_response_time=0.009
192.168.150.1 - - [29/Oct/2025:04:13:01 +0000] "GET /dt/api/v1/configProperty/public/general/welcome.message.enabled HTTP/1.1" 200 187 "https://localhost:62731/dt/login?redirect=%2Fdashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" request_time=0.012 upstream_response_time=0.012
192.168.150.1 - - [29/Oct/2025:04:13:13 +0000] "GET /dt/api/version HTTP/1.1" 200 345 "https://localhost:62731/dt/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" request_time=0.008 upstream_response_time=0.008
192.168.150.1 - - [29/Oct/2025:04:13:35 +0000] "GET /dt/api/version HTTP/1.1" 200 345 "https://localhost:62731/dt/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" request_time=0.009 upstream_response_time=0.008
192.168.150.1 - - [29/Oct/2025:04:13:35 +0000] "GET /dt/api/v1/configProperty/public/general/welcome.message.enabled HTTP/1.1" 200 187 "https://localhost:62731/dt/login?redirect=%2Fdashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" request_time=0.009 upstream_response_time=0.008
192.168.150.1 - - [29/Oct/2025:04:20:23 +0000] "GET /dt/api/version HTTP/1.1" 200 345 "https://localhost:62731/dt/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" request_time=0.014 upstream_response_time=0.014
192.168.150.1 - - [29/Oct/2025:04:20:23 +0000] "GET /dt/api/v1/configProperty/public/general/welcome.message.enabled HTTP/1.1" 200 187 "https://localhost:62731/dt/login?redirect=%2Fdashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" request_time=0.031 upstream_response_time=0.032
